drugbank_id	recon_id	inchi_key
DB01942	for	BDAGIHXWWSANSR-UHFFFAOYSA-N
DB01956	taur	XOAAWQZATWQOTB-UHFFFAOYSA-N
DB01971	urcan	LOIYMIARKYCTBW-OWOJBTEDSA-N
DB01972	gmp	RQFCJASXJCIDSX-UUOKFMHZSA-N
DB01982	glcur	AEMOLEFTQBMNLQ-BYHBOUFCSA-N
DB01987	thmpp	AYEKOFBPNLCAJY-UHFFFAOYSA-N
DB01990	chsterols	BHYOQNUELFTYRT-DPAQBDIFSA-N
DB01992	coa	RGJOEKWQDUBAIZ-IBOSZNHHSA-N
DB02007	g6p	NBSCHQHZLSJFNQ-DVKNGEFBSA-N
DB02007	man6p	NBSCHQHZLSJFNQ-DVKNGEFBSA-N
DB02013	h2o	RZHWLGRUSMSXRP-UHFFFAOYSA-N
DB02013	oh1	RZHWLGRUSMSXRP-UHFFFAOYSA-N
DB02015	dhf	OZRNSSUDZOLUSN-LBPRGKRZSA-N
DB02031	thf	MSTNYGQPCMXVAQ-RYUDHWBXSA-N
DB02056	prostgd2	BHMBVRSPMRCCGG-OUTUXVNYSA-N
DB02059	adprib	SRNWOUGRCWSEMX-ZQSHOCFMSA-N
DB02061	lcts	GUBGYTABKSRVRQ-CUHNMECISA-N
DB02061	malt	GUBGYTABKSRVRQ-CUHNMECISA-N
DB02070	Lkynr	YGPSJZOEDVAXAB-QMMMGPOBSA-N
DB02073	biliverd	QBUVFDKTZJNUPP-BBROENKCSA-N
DB02076	6pgc	BIRSGZKFKXLSJQ-SQOUGZDYSA-N
DB02083	dmgly	FFDGPVCHZBVARC-UHFFFAOYSA-N
DB02092	HC02024	NAACPBBQTFFYQB-LJAITQKLSA-N
DB02097	cytd	UHDGCWIWMRVCDJ-XVFCMESISA-N
DB02123	dgchol	GHCZAUBVMUEKKP-GYPHWSFCSA-N
DB02129	dhor_S	UFIVEPVSAGBUSI-REOHCLBHSA-N
DB02134	xan	LRFVTYWOQMYALW-UHFFFAOYSA-N
DB02142	pyam5p	ZMJGSOSNSPKHNH-UHFFFAOYSA-N
DB02153	3sala	ADVPTQAUNPRNPO-REOHCLBHSA-N
DB02156	3spyr	BUTHMSUEBYPMKJ-UHFFFAOYSA-N
DB02159	12ppd_R	DNIAPMSPPWPWGF-GSVOUGTGSA-N
DB02159	12ppd_S	DNIAPMSPPWPWGF-GSVOUGTGSA-N
DB02165	h2o	JKKHGFKPEJPPQG-UHFFFAOYSA-N
DB02165	oh1	JKKHGFKPEJPPQG-UHFFFAOYSA-N
DB02174	gln_L	ZDXPYRJPNDTMRX-GSVOUGTGSA-N
DB02175	HC00319	OFOBLEOULBTSOW-UHFFFAOYSA-N
DB02176	ac	QWSOAYZXYZDDPB-UHFFFAOYSA-M
DB02178	pacald	DTUQWGWMVIHBKE-UHFFFAOYSA-N
DB02180	tdcoa	DUAFKXOFBZQTQE-QSGBVPJFSA-N
DB02181	dgtp	HAAZLUGHYHWQIW-KVQBGUIXSA-N
DB02184	dtt	VHJLVAABSRFDPM-QWWZWVQMSA-N
DB02190	HC01434	UFSCUAXLTRFIDC-REOHCLBHSA-N
DB02196	uacgam	LFTYTUAZOPRMMI-NESSUJCYSA-N
DB02196	udpacgal	LFTYTUAZOPRMMI-NESSUJCYSA-N
DB02201	HC00319	OFOBLEOULBTSOW-UHFFFAOYSA-L
DB02209	pdx5p	WHOMFKWHIQZTHY-UHFFFAOYSA-N
