drugbank_id	pubchem_tpharma_id	inchi_key
DB00120	16472239	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	16935846	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	49695343	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	56452026	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	99438944	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00121	14798470	YBJHBAHKTGYVGT-ZKWXMUAHSA-N
DB00121	14823272	YBJHBAHKTGYVGT-ZKWXMUAHSA-N
DB00121	15465250	YBJHBAHKTGYVGT-ZKWXMUAHSA-N
DB00121	15937232	YBJHBAHKTGYVGT-ZKWXMUAHSA-N
DB00121	16264885	YBJHBAHKTGYVGT-ZKWXMUAHSA-N
DB00121	16583222	YBJHBAHKTGYVGT-ZKWXMUAHSA-N
DB00121	16879707	YBJHBAHKTGYVGT-ZKWXMUAHSA-N
DB00123	117638676	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00123	15219170	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00123	15297427	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00123	15315418	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00123	15321566	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00123	15321579	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00123	15437346	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00123	16032282	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00123	16472023	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00123	85251131	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00123	85251132	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00123	85251253	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00125	117698143	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00125	117698144	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00125	117698145	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00125	14748242	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00125	14772629	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00125	14772630	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00125	14772631	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00125	14772651	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00125	15195065	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00125	15321972	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00125	15321973	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00125	16410801	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00125	96061478	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00126	14992618	CIWBSHSKHKDKBQ-JLAZNSOCSA-N
DB00126	15195088	CIWBSHSKHKDKBQ-JLAZNSOCSA-N
DB00126	15219590	CIWBSHSKHKDKBQ-JLAZNSOCSA-N
DB00126	15219591	CIWBSHSKHKDKBQ-JLAZNSOCSA-N
DB00126	15321980	CIWBSHSKHKDKBQ-JLAZNSOCSA-N
DB00126	15321981	CIWBSHSKHKDKBQ-JLAZNSOCSA-N
DB00126	15971359	CIWBSHSKHKDKBQ-JLAZNSOCSA-N
DB00126	16020566	CIWBSHSKHKDKBQ-JLAZNSOCSA-N
DB00127	14748726	PFNFFQXMRSDOHW-UHFFFAOYSA-N
DB00127	14767738	PFNFFQXMRSDOHW-UHFFFAOYSA-N
DB00127	14871261	PFNFFQXMRSDOHW-UHFFFAOYSA-N
DB00127	14902245	PFNFFQXMRSDOHW-UHFFFAOYSA-N
DB00127	152142463	PFNFFQXMRSDOHW-UHFFFAOYSA-N
DB00127	15493389	PFNFFQXMRSDOHW-UHFFFAOYSA-N
DB00127	15512767	PFNFFQXMRSDOHW-UHFFFAOYSA-N
DB00127	15687830	PFNFFQXMRSDOHW-UHFFFAOYSA-N
DB00127	16040828	PFNFFQXMRSDOHW-UHFFFAOYSA-N
DB00127	16403238	PFNFFQXMRSDOHW-UHFFFAOYSA-N
DB00127	16595926	PFNFFQXMRSDOHW-UHFFFAOYSA-N
DB00127	46498804	PFNFFQXMRSDOHW-UHFFFAOYSA-N
DB00128	117699011	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00128	117699012	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00128	117699013	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00128	15119963	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00128	15219005	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00128	15297263	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00128	15297269	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00128	15321388	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00128	15339188	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00128	15363590	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00128	15585830	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00128	15661109	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00128	16153894	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00128	16398176	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00128	16410400	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00128	99438946	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00129	14916053	AHLPHDHHMVZTML-BYPYZUCNSA-N
DB00129	15119954	AHLPHDHHMVZTML-BYPYZUCNSA-N
DB00129	15170686	AHLPHDHHMVZTML-BYPYZUCNSA-N
DB00129	15810798	AHLPHDHHMVZTML-BYPYZUCNSA-N
DB00129	15934450	AHLPHDHHMVZTML-BYPYZUCNSA-N
DB00129	16190292	AHLPHDHHMVZTML-BYPYZUCNSA-N
DB00130	15170843	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00130	15170844	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00130	15297396	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00130	15297397	ZDXPYRJPNDTMRX-VKHMYHEASA-N
