drugbank_id	kegg_ligand_id	inchi_key
DB00319	C07361	IVBHGBMCVLDMKU-GXNBUGAJSA-N
DB00319	C14034	IVBHGBMCVLDMKU-GXNBUGAJSA-N
DB00320	C07798	LUZRJRNZXALNLM-JGRZULCMSA-N
DB00321	C06824	KRMDCWKBEZIMAB-UHFFFAOYSA-N
DB00322	C11736	ODKNJVUHOIMIIZ-RRKCRQDMSA-N
DB00323	C07949	MIQPIUSUKVNLNT-UHFFFAOYSA-N
DB00325	C07695	ASPOIVQEUUCDQT-UHFFFAOYSA-N
DB00326	C00076	FATUQANACHZLRT-KMRXSBRUSA-L
DB00327	C07042	WVLOADHCBXTIJK-YNHQPCIGSA-N
DB00328	C01926	CGIGDMFJXJATDK-UHFFFAOYSA-N
DB00330	C06984	AEUTYOVWOVBAKS-UWVGGRQHSA-N
DB00331	C07151	XZWYZXLIPXDOLR-UHFFFAOYSA-N
DB00332	C07052	OEXHQOGQTVQTAT-BHIXFJMTSA-N
DB00333	C07163	USSIQXCVUWKGNF-UHFFFAOYSA-N
DB00334	C07322	KVWDHTXUZHCGIO-UHFFFAOYSA-N
DB00336	C08042	IAIWVQXQOWNYOU-FPYGCLRLSA-N
DB00338	C07324	SUBDBMMJDZJVOS-UHFFFAOYSA-N
DB00339	C01956	IPEHBUMCGVEMRF-UHFFFAOYSA-N
DB00341	C07778	ZKLPARSLTMPFCP-UHFFFAOYSA-N
DB00342	C07463	GUGOEEXESWIERI-UHFFFAOYSA-N
DB00343	C06958	HSUGRBWQSSZJOP-RTWAWAEBSA-N
DB00344	C07408	BWPIARFWQZKAIA-UHFFFAOYSA-N
DB00351	C08151	RQZAXGRLVPAYTJ-GQFGMJRRSA-N
DB00352	C07648	WYWHKKSPHMUBEB-UHFFFAOYSA-N
DB00354	C07777	MOYGZHXDRJNJEP-UHFFFAOYSA-N
DB00356	C07931	TZFWDZFKRBELIQ-UHFFFAOYSA-N
DB00357	C07617	ROBVIMPUHSLWNV-UHFFFAOYSA-N
DB00358	C07633	XEEQGYMUWCZPDN-UHFFFAOYSA-N
DB00359	C07658	SEEPANYCNGTZFQ-UHFFFAOYSA-N
DB00360	C00272	FNKQXYHWGSIFBK-RPDRRWSUSA-N
DB00363	C06924	QZUDBNBUXVUHMW-UHFFFAOYSA-N
DB00364	C00001	IPLJAZDIICJQEL-JTJNLBSYSA-A
DB00364	C01328	IPLJAZDIICJQEL-JTJNLBSYSA-A
DB00365	C11368	AIJTTZAVMXIJGM-UHFFFAOYSA-N
DB00366	C19414	HCFDWZZGGLSKEP-UHFFFAOYSA-N
DB00367	C08149	WWYNJERNGUHSAO-XUDSTZEESA-N
DB00367	C08153	WWYNJERNGUHSAO-XUDSTZEESA-N
DB00368	C00547	SFLSHLFXELFNJZ-QMMMGPOBSA-N
DB00369	C06909	VWFCHDSQECPREK-LURJTMIESA-N
DB00370	C07570	RONZAEMNMFQXRA-UHFFFAOYSA-N
DB00372	C07132	XCTYLCDETUVOIP-UHFFFAOYSA-N
DB00373	C07141	BLJRIMJGRPQVNF-JTQLQIEISA-N
DB00376	C07171	HWHLPVGTWGOCJO-UHFFFAOYSA-N
DB00379	C07220	VLPIATFUUWWMKC-UHFFFAOYSA-N
DB00381	C06825	HTIQEAQVCYTUBX-UHFFFAOYSA-N
DB00382	C01453	YLJREFDVOIBQDA-UHFFFAOYSA-N
DB00383	C07851	DUDKAZCAISNGQN-UHFFFAOYSA-N
DB00387	C07378	WYDUSKDSKCASEF-UHFFFAOYSA-N
DB00388	C07441	SONNWYBIRXJNDC-VIFPVBQESA-N
DB00389	C07615	CFOYWRHIYXMDOT-UHFFFAOYSA-N
DB00390	C06956	LTMHDMANZUZIPE-PUGKRICDSA-N
DB00393	C07267	UIAGMCDKSXEBJQ-UHFFFAOYSA-N
DB00394	C07813	KUVIULQEHSCUHY-XYWKZLDCSA-N
DB00395	C07927	OFZCIYFFPZCNJE-UHFFFAOYSA-N
DB00396	C00410	RJKFOVLPORLFTN-LEKSSAKUSA-N
DB00397	C02343	DLNKOYKMWOXYQA-CBAPKCEASA-N
DB00397	C07911	DLNKOYKMWOXYQA-CBAPKCEASA-N
DB00397	C08300	DLNKOYKMWOXYQA-CBAPKCEASA-N
DB00397	C16719	DLNKOYKMWOXYQA-CBAPKCEASA-N
DB00400	C06686	DDUHZTYCFQRHIY-RBHXEPJQSA-N
DB00401	C07699	VKQFCGNPDRICFG-UHFFFAOYSA-N
DB00404	C06817	VREFGVBLTWBCJP-UHFFFAOYSA-N
DB00405	C06857	ZDIGNSYAACHWNL-HNNXBMFYSA-N
DB00408	C07104	XJGVXQDUIWGIRW-UHFFFAOYSA-N
DB00410	C11758	MINDHVHHQZYEEK-HBBNESRFSA-N
DB00414	C06806	VGZSUPCWNCWDAN-UHFFFAOYSA-N
DB00415	C06574	AVKUERGKIZMTKX-NJBDSQKTSA-N
DB00415	C13652	AVKUERGKIZMTKX-NJBDSQKTSA-N
DB00416	C00708	DIGFQJFCDPKEPF-OIUSMDOTSA-L
DB00416	C05590	DIGFQJFCDPKEPF-OIUSMDOTSA-L
DB00416	C07919	DIGFQJFCDPKEPF-OIUSMDOTSA-L
DB00417	C08126	BPLBGHOLXOTWMN-MBNYWOFBSA-N
DB00420	C07379	ZGUGWUXLJSTTMA-UHFFFAOYSA-N
DB00421	C07310	LXMSZDCAJNLERA-ZHYRCANASA-N
DB00422	C07196	DUGOZIWVEXMGBE-UHFFFAOYSA-N
DB00424	C01479	RKUNBYITZUJHSG-FXUDXRNXSA-N
DB00424	C02046	RKUNBYITZUJHSG-FXUDXRNXSA-N
DB00425	C07219	ZAFYATHCZYHLPB-UHFFFAOYSA-N
DB00428	C07313	ZSJLQEPLLKMAKR-GKHCUFPYSA-N
DB00429	C06872	UMMADZJLZAPZAW-OVXHCKHTSA-N
DB00429	C07182	UMMADZJLZAPZAW-OVXHCKHTSA-N
DB00430	C13376	PWAUCHMQEXVFJR-PMAPCBKXSA-N
DB00431	C06988	JLYXXMFPNIAWKQ-GNIYUCBRSA-N
DB00431	C07075	JLYXXMFPNIAWKQ-GNIYUCBRSA-N
DB00431	C15214	JLYXXMFPNIAWKQ-GNIYUCBRSA-N
DB00431	C18738	JLYXXMFPNIAWKQ-GNIYUCBRSA-N
DB00433	C07403	WIKYUJGCLQQFNW-UHFFFAOYSA-N
DB00433	C13524	WIKYUJGCLQQFNW-UHFFFAOYSA-N
DB00434	C06935	JJCFRYNCJDLXIK-UHFFFAOYSA-N
DB00435	C00533	MWUXSHHQAYIFBG-UHFFFAOYSA-N
