drugbank_id	mcule_id	inchi_key
DB00194	MCULE-2748108750	OIRDTQYFTABQOQ-UHTZMRCNSA-N
DB00194	MCULE-4219451083	OIRDTQYFTABQOQ-UHTZMRCNSA-N
DB00194	MCULE-4739150481	OIRDTQYFTABQOQ-UHTZMRCNSA-N
DB00194	MCULE-5682876196	OIRDTQYFTABQOQ-UHTZMRCNSA-N
DB00194	MCULE-5882466362	OIRDTQYFTABQOQ-UHTZMRCNSA-N
DB00194	MCULE-6268373280	OIRDTQYFTABQOQ-UHTZMRCNSA-N
DB00194	MCULE-7071766082	OIRDTQYFTABQOQ-UHTZMRCNSA-N
DB00194	MCULE-7671875172	OIRDTQYFTABQOQ-UHTZMRCNSA-N
DB00194	MCULE-7821885333	OIRDTQYFTABQOQ-UHTZMRCNSA-N
DB00194	MCULE-9546992456	OIRDTQYFTABQOQ-UHTZMRCNSA-N
DB00195	MCULE-2260668292	NWIUTZDMDHAVTP-UHFFFAOYSA-N
DB00195	MCULE-9803896732	NWIUTZDMDHAVTP-UHFFFAOYSA-N
DB00196	MCULE-8641424658	RFHAOTPXVQNOHP-UHFFFAOYSA-N
DB00198	MCULE-1441617774	VSZGPKBBMSAYNT-RRFJBIMHSA-N
DB00198	MCULE-3939535663	VSZGPKBBMSAYNT-RRFJBIMHSA-N
DB00199	MCULE-2023073206	ULGZDMOVFRHVEP-RWJQBGPGSA-N
DB00199	MCULE-4566208867	ULGZDMOVFRHVEP-RWJQBGPGSA-N
DB00200	MCULE-2058909258	YOZNUFWCRFCGIH-WZHZPDAFSA-K
DB00200	MCULE-9788063146	YOZNUFWCRFCGIH-WZHZPDAFSA-K
DB00201	MCULE-3362813910	RYYVLZVUVIJVGH-UHFFFAOYSA-N
DB00202	MCULE-2070369236	AXOIZCJOOAYSMI-UHFFFAOYSA-N
DB00202	MCULE-7641058357	AXOIZCJOOAYSMI-UHFFFAOYSA-N
DB00202	MCULE-8848846426	AXOIZCJOOAYSMI-UHFFFAOYSA-N
DB00203	MCULE-2481702478	BNRNXUUZRGQAQC-UHFFFAOYSA-N
DB00203	MCULE-7780487665	BNRNXUUZRGQAQC-UHFFFAOYSA-N
DB00206	MCULE-1769487414	QEVHRUUCFGRFIF-MDEJGZGSSA-N
DB00206	MCULE-9131256292	QEVHRUUCFGRFIF-MDEJGZGSSA-N
DB00206	MCULE-9361278292	QEVHRUUCFGRFIF-MDEJGZGSSA-N
DB00206	MCULE-9946449258	QEVHRUUCFGRFIF-MDEJGZGSSA-N
DB00207	MCULE-8817893418	MQTOSJVFKKJCRP-BICOPXKESA-N
